trade_id,type,alert_date,alert_open,alert_high,alert_low,alert_close,alert_rsi,entry_date,entry_price,exit_date,exit_price,stop_loss,target,pnl,status
1,BUY,2025-11-26 13:35,26343.3,26359.6,26343.2,26351.7,60.82,2025-11-26 13:40,26359.6,2025-11-26 13:55,26369.6,26343.2,26369.6,10.0,TARGET
2,BUY,2025-11-26 15:05,26373.1,26384.8,26366.6,26381,62.84,2025-11-26 15:10,26384.8,2025-11-26 15:25,26390,26366.6,26394.8,5.2,EXIT_325
3,SELL,2025-11-27 11:45,26444,26445,26406,26410.1,37.25,2025-11-27 11:50,26406,2025-11-27 12:20,26396,26445,26396,10,TARGET
4,SELL,2025-11-27 13:05,26405,26405.9,26388,26389,39.26,2025-11-27 13:10,26388,2025-11-27 13:15,26378,26405.9,26378,10,TARGET
5,BUY,2025-11-28 09:30,26408.3,26437,26406,26435,63.23,2025-11-28 09:35,26437,2025-11-28 09:40,26406,26406,26447,-31,STOP_LOSS
6,BUY,2025-11-28 10:35,26424.4,26448,26424.4,26445,60.31,2025-11-28 10:40,26448,2025-11-28 10:45,26458,26424.4,26458,10,TARGET
7,SELL,2025-11-28 12:20,26404.4,26408,26390,26394.2,39.11,2025-11-28 12:25,26390,2025-11-28 12:30,26408,26408,26380,-18,STOP_LOSS
8,SELL,2025-11-28 13:15,26392,26397,26380.8,26380.8,39.8,2025-11-28 13:20,26380.8,2025-11-28 13:25,26397,26397,26370.8,-16.2,STOP_LOSS
9,SELL,2025-11-28 14:10,26376.8,26380,26373.8,26375.1,39.66,2025-11-28 14:15,26373.8,2025-11-28 14:25,26380,26380,26363.8,-6.2,STOP_LOSS
10,SELL,2025-12-01 10:50,26424.9,26426.6,26401.1,26403,39.4,2025-12-01 10:55,26401.1,2025-12-01 11:15,26426.6,26426.6,26391.1,-25.5,STOP_LOSS
11,SELL,2025-12-01 13:20,26353,26354.9,26326.1,26329.2,39.04,2025-12-01 13:25,26326.1,2025-12-01 13:40,26354.9,26354.9,26316.1,-28.8,STOP_LOSS
12,SELL,2025-12-01 14:40,26337,26342,26326.1,26328,39.47,2025-12-01 14:45,26326.1,2025-12-01 14:50,26316.1,26342,26316.1,10.0,TARGET
13,SELL,2025-12-01 14:50,26330.4,26337.6,26308.8,26315,36.76,2025-12-01 14:55,26308.8,2025-12-01 15:00,26337.6,26337.6,26298.8,-28.8,STOP_LOSS
